Unnamed: 0,stimulus,first,second,groupUnc,groupRes,groupVal,valence_1,arousal_1,uncertainty_1,valence_2,arousal_2,uncertainty_2,resolution,surprise
51,"<p id = 'frst'>Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.</p><p id = 'scnd'>Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est déféctueuse mais que cela ne va pas influencer leur trajet. <br> Il ajoute qu'il ne faut pas paniquer.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.,"Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est déféctueuse mais que cela ne va pas influencer leur trajet. Il ajoute qu'il ne faut pas paniquer.",high unc conditions,high res conditions,neg conditions,-0.7,0.8,0.6,-0.2,0.5,-0.3,-0.5,0.4
52,<p id = 'frst'>Kevin est un fervent supporteur de l'équipe nationale de football.</p><p id = 'scnd'>Il regarde tous les matchs et connaît les particularités de chaque joueur.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Kevin est un fervent supporteur de l'équipe nationale de football.,Il regarde tous les matchs et connaît les particularités de chaque joueur.,no unc conditions,,pos conditions,0.6,0.5,-0.8,0.4,0.3,-0.9,-0.7,-0.5
53,<p id = 'frst'>Mady fait la fête au centre-ville.</p><p id = 'scnd'>Elle voit beaucoup de personnes qui consomment de l'alcool.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mady fait la fête au centre-ville.,Elle voit beaucoup de personnes qui consomment de l'alcool.,no unc conditions,,neg conditions,0.6,0.7,-0.3,-0.2,0.5,-0.1,-0.4,0.2
54,<p id = 'frst'>Paul doit rejoindre un ami pour prendre un café.</p><p id = 'scnd'>Il monte dans le bus pour se rendre au lieu de rendez-vous.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Paul doit rejoindre un ami pour prendre un café.,Il monte dans le bus pour se rendre au lieu de rendez-vous.,no unc conditions,,pos conditions,0.3,0.1,-0.2,0.2,0.2,-0.3,-0.1,-0.5
55,"<p id = 'frst'>La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dérnier vol.</p><p id = 'scnd'>Simon commence à faire la file pour réclamer sa valise aux objets trouvés.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dérnier vol.",Simon commence à faire la file pour réclamer sa valise aux objets trouvés.,low unc conditions,low res conditions,neg conditions,-0.8,0.7,0.5,-0.2,0.3,0.6,-0.4,0.2
56,"<p id = 'frst'>Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.</p><p id = 'scnd'>Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: <br> un tout noir avec des petites oreilles.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.,"Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: un tout noir avec des petites oreilles.",low unc conditions,high res conditions,pos conditions,0.7,0.5,0.3,0.9,0.8,-0.5,-0.7,0.4
57,"<p id = 'frst'>Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League!</p><p id = 'scnd'>Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League!","Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.",high unc conditions,low res conditions,pos conditions,0.8,0.7,-0.3,0.2,0.6,0.5,-0.4,0.2
58,<p id = 'frst'>Clara est au centre-ville lorsque son père l'appelle inquiet en demandant si elle va bien car une fusillade a éclaté à la gare.</p><p id = 'scnd'>Clara essaie de le calmer et lui dit de la lâcher un peu. <br> Il exagère toujours.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Clara est au centre-ville lorsque son père l'appelle inquiet en demandant si elle va bien car une fusillade a éclaté à la gare.,Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.,high unc conditions,low res conditions,neg conditions,-0.8,0.9,0.7,-0.3,0.5,-0.2,0.4,0.6
59,<p id = 'frst'>Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.</p><p id = 'scnd'>Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.,Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.,low unc conditions,high res conditions,neg conditions,-0.3,0.5,0.7,-0.8,0.9,-0.2,0.6,0.8
60,"<p id = 'frst'>La maman d'Ethan lui envoie un message en disant qu'elle va lui préparer un bon repas.</p><p id = 'scnd'>Curieux, Ethan essaye de l'appeler pour en savoir plus mais son téléphone s'éteint.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",La maman d'Ethan lui envoie un message en disant qu'elle va lui préparer un bon repas.,"Curieux, Ethan essaye de l'appeler pour en savoir plus mais son téléphone s'éteint.",low unc conditions,low res conditions,pos conditions,0.7,0.3,-0.5,-0.2,0.6,0.4,-0.3,0.5
61,"<p id = 'frst'>Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.</p><p id = 'scnd'>Il est 16h30. Vite! Il ne lui reste plus que 10 minutes pour le rejoindre.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.",Il est 16h30. Vite! Il ne lui reste plus que 10 minutes pour le rejoindre.,low unc conditions,high res conditions,pos conditions,0.2,0.1,0.3,-0.5,0.8,-0.2,-0.4,0.6
62,"<p id = 'frst'>Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.</p><p id = 'scnd'>Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si c'est des voleurs.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.,"Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si c'est des voleurs.",low unc conditions,low res conditions,neg conditions,-0.3,0.7,0.5,-0.5,0.2,0.3,-0.4,0.6
63,"<p id = 'frst'>Irene aimerait voyager mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages.</p><p id = 'scnd'>L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Irene aimerait voyager mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages.","L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.",low unc conditions,low res conditions,pos conditions,0.2,0.3,0.7,0.6,0.4,-0.2,-0.5,0.1
64,<p id = 'frst'>Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.</p><p id = 'scnd'>Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.,Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.,high unc conditions,high res conditions,pos conditions,0.7,0.5,0.3,0.9,0.2,-0.8,-0.9,0.4
65,<p id = 'frst'>Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.</p><p id = 'scnd'>Il marche sur la pointe des pieds en se rapprochant des escaliers.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.,Il marche sur la pointe des pieds en se rapprochant des escaliers.,high unc conditions,low res conditions,neg conditions,-0.7,0.8,0.6,-0.5,0.9,0.5,-0.3,0.4
66,<p id = 'frst'>Eva planifie un city-trip à San Francisco.</p><p id = 'scnd'>Elle voudrait trouver un vol pas cher.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Eva planifie un city-trip à San Francisco.,Elle voudrait trouver un vol pas cher.,no unc conditions,,pos conditions,0.6,0.4,-0.3,0.2,0.5,0.4,-0.2,0.1
67,<p id = 'frst'>Lisa a travaillé assidûment pour sa thèse de master.</p><p id = 'scnd'>Elle a eu une très bonne note: 85%!.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lisa a travaillé assidûment pour sa thèse de master.,Elle a eu une très bonne note: 85%!.,no unc conditions,,pos conditions,0.5,0.3,-0.2,0.9,0.8,-0.5,-0.7,0.4
68,<p id = 'frst'>Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.</p><p id = 'scnd'>Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.,Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.,low unc conditions,high res conditions,neg conditions,-0.6,0.7,0.8,-0.3,0.5,-0.2,0.6,0.4
69,<p id = 'frst'>Serena entend que son examen d'algèbre a été annulé.</p><p id = 'scnd'>Elle espère que ce soit vrai car elle ne comprend rien en cours.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Serena entend que son examen d'algèbre a été annulé.,Elle espère que ce soit vrai car elle ne comprend rien en cours.,high unc conditions,low res conditions,pos conditions,0.7,0.5,-0.3,0.2,0.4,0.6,-0.2,0.1
70,<p id = 'frst'>Jeanne fait des activités touristiques.</p><p id = 'scnd'>Elle prend beaucoup de selfies.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Jeanne fait des activités touristiques.,Elle prend beaucoup de selfies.,no unc conditions,,neg conditions,0.3,0.2,-0.5,0.1,0.4,-0.3,-0.2,0.1
71,"<p id = 'frst'>Jim habite seul et il rentre tous les jours du travail à 19h. <br> Mais vendredi dernier en passant le seuil de sa porte un bruit inquiétant venant de l'étage l'a surpris.</p><p id = 'scnd'>Après avoir monté les escaliers en courant, il découvre qu'un oiseau s'est introduit dans sa chambre par la fenêtre et a détruit son vase préféré.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Jim habite seul et il rentre tous les jours du travail à 19h. Mais vendredi dernier en passant le seuil de sa porte un bruit inquiétant venant de l'étage l'a surpris.,"Après avoir monté les escaliers en courant, il découvre qu'un oiseau s'est introduit dans sa chambre par la fenêtre et a détruit son vase préféré.",high unc conditions,high res conditions,neg conditions,-0.3,0.5,0.7,-0.8,0.9,-0.2,0.6,0.8
72,<p id = 'frst'>Ivan adore faire du voilier.</p><p id = 'scnd'>Il part souvent en navigation pendant l'été.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Ivan adore faire du voilier.,Il part souvent en navigation pendant l'été.,no unc conditions,,neg conditions,0.8,0.5,-0.7,0.6,0.3,-0.8,-0.5,-0.2
73,<p id = 'frst'>Justine bronze en pleine mer lorsqu'elle voit une tornade se former au loin.</p><p id = 'scnd'>Un frisson parcourt sa colonne vertébrale.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Justine bronze en pleine mer lorsqu'elle voit une tornade se former au loin.,Un frisson parcourt sa colonne vertébrale.,high unc conditions,low res conditions,neg conditions,-0.3,0.7,0.5,-0.6,0.8,0.2,-0.4,0.6
74,<p id = 'frst'>Sam rentre à la maison.</p><p id = 'scnd'>Il enlève sa veste.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Sam rentre à la maison.,Il enlève sa veste.,no unc conditions,,neg conditions,0.0,-0.2,-0.5,0.0,-0.3,-0.6,-0.1,-0.8
75,<p id = 'frst'>Kim veut partir en voyage mais elle ne sait pas encore où aller. <br> Elle commence à regarder des destinations sur Google.</p><p id = 'scnd'>Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.,Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.,low unc conditions,high res conditions,pos conditions,0.2,0.5,0.7,0.8,0.9,-0.5,-0.8,0.6
76,<p id = 'frst'>Soline a travaillé d'arrache-pied sur son devoir le mois passé. <br> Elle se rend en classe et espère recevoir une très bonne note.</p><p id = 'scnd'>Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Soline a travaillé d'arrache-pied sur son devoir le mois passé. Elle se rend en classe et espère recevoir une très bonne note.,Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.,high unc conditions,low res conditions,pos conditions,0.7,0.5,-0.3,-0.2,0.3,0.6,-0.4,0.5
77,"<p id = 'frst'>Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques noeuds.</p><p id = 'scnd'>Il commence à pleuvoir et elle essaye de s'abriter. <br> Des vagues de plusieurs mètres s'abattent sur le mas du bateau, Megan perd l'équilibre et tombe dans l'eau. <br> Elle se bat contre les vagues pendant plusieurs minutes mais exténuée elle se noie.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques noeuds.,"Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mas du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais exténuée elle se noie.",high unc conditions,high res conditions,neg conditions,-0.3,0.5,0.6,-0.9,0.9,-0.2,-0.8,0.7
78,"<p id = 'frst'>Sam se fait réveiller par l'aboiement de son chien en pleine nuit. <br> Il se dit que c'est étrange étant donné que son chien est d'habitude très calme.</p><p id = 'scnd'>Il se lève pour aller voir si son chien va bien. <br> Une fois en bas des escaliers, il se gratte les yeux pour être sur de bien voir ce qu'il se passe: son chien a une souris dans la gueule.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Sam se fait réveiller par l'aboiement de son chien en pleine nuit. Il se dit que c'est étrange étant donné que son chien est d'habitude très calme.,"Il se lève pour aller voir si son chien va bien. Une fois en bas des escaliers, il se gratte les yeux pour être sur de bien voir ce qu'il se passe: son chien a une souris dans la gueule.",low unc conditions,high res conditions,neg conditions,-0.3,0.6,0.7,0.1,0.8,-0.2,0.5,0.9
79,<p id = 'frst'>Alexandra aimerait adopter un chat et elle espère en trouver un au refuge.</p><p id = 'scnd'>Mais elle est inquiète car son chien a mauvais caractère et il pourrait mal réagir à l'arrivée d'un chaton à la maison.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Alexandra aimerait adopter un chat et elle espère en trouver un au refuge.,Mais elle est inquiète car son chien a mauvais caractère et il pourrait mal réagir à l'arrivée d'un chaton à la maison.,low unc conditions,low res conditions,pos conditions,0.7,0.5,-0.3,-0.6,0.8,0.4,-0.5,0.2
80,<p id = 'frst'>Mona dort paisiblement dans son lit.</p><p id = 'scnd'>Elle rêve que son chien court dans le jardin.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mona dort paisiblement dans son lit.,Elle rêve que son chien court dans le jardin.,no unc conditions,,neg conditions,0.7,-0.5,-0.8,0.6,0.3,-0.6,-0.2,0.1
81,<p id = 'frst'>Lucille ne trouve pas son portable.</p><p id = 'scnd'>Elle regarde partout dans la maison mais il n'y a pas de trace de son téléphone.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lucille ne trouve pas son portable.,Elle regarde partout dans la maison mais il n'y a pas de trace de son téléphone.,low unc conditions,low res conditions,neg conditions,-0.6,0.5,0.7,-0.7,0.6,0.8,-0.3,0.1
82,<p id = 'frst'>Sara a travaillé assidument pour la thèse qu'elle a rendu le mois passé. <br> Elle espère avoir une bonne note.</p><p id = 'scnd'>En arrivant en classe son professeur la congratule immédiatement car sa thèse était excellente: Sara a obtenu un 90%!.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Sara a travaillé assidument pour la thèse qu'elle a rendu le mois passé. Elle espère avoir une bonne note.,En arrivant en classe son professeur la congratule immédiatement car sa thèse était excellente: Sara a obtenu un 90%!.,high unc conditions,high res conditions,pos conditions,0.5,0.3,0.6,0.9,0.8,-0.8,-0.7,0.6
83,<p id = 'frst'>Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.</p><p id = 'scnd'>Ils discutent de tout et de rien.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.,Ils discutent de tout et de rien.,no unc conditions,,pos conditions,0.5,0.6,-0.3,0.2,-0.1,-0.5,-0.4,-0.2
84,<p id = 'frst'>Laura aimerait adopter un chaton.</p><p id = 'scnd'>Elle va sur Internet pour trouver un refuge.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Laura aimerait adopter un chaton.,Elle va sur Internet pour trouver un refuge.,no unc conditions,,pos conditions,0.7,0.5,0.3,0.6,0.4,0.1,-0.2,-0.1
85,<p id = 'frst'>Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.</p><p id = 'scnd'>L'hôtesse de l'air la plus proche s'évanouit.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.,L'hôtesse de l'air la plus proche s'évanouit.,high unc conditions,low res conditions,neg conditions,-0.8,0.9,0.7,-0.9,0.8,0.6,-0.5,0.4
86,<p id = 'frst'>Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule.</p><p id = 'scnd'>Elle regarde son épaule mais il n'y a rien dessus.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule.,Elle regarde son épaule mais il n'y a rien dessus.,low unc conditions,low res conditions,neg conditions,-0.2,0.5,0.6,-0.1,0.3,0.8,-0.4,0.7
87,"<p id = 'frst'>Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.</p><p id = 'scnd'>Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.,"Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré.",low unc conditions,high res conditions,pos conditions,0.8,0.5,-0.3,0.9,0.7,-0.5,-0.6,0.4
88,"<p id = 'frst'>La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.</p><p id = 'scnd'>Marco reçoit un appel de la compagnie d'avion lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.",Marco reçoit un appel de la compagnie d'avion lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.,low unc conditions,high res conditions,neg conditions,-0.8,0.7,0.5,-0.4,0.6,-0.2,0.3,0.4
89,<p id = 'frst'>La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.</p><p id = 'scnd'>Il lui répond qu'il aimerait des lasagnes.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.,Il lui répond qu'il aimerait des lasagnes.,no unc conditions,,pos conditions,0.2,0.1,0.3,0.5,0.2,-0.2,-0.4,-0.1
90,<p id = 'frst'>Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. <br> Karl s'efforce de se rappeler son prénom mais n'y parvient pas.</p><p id = 'scnd'>Il continue de discuter avec elle comme si de rien n'était.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. Karl s'efforce de se rappeler son prénom mais n'y parvient pas.,Il continue de discuter avec elle comme si de rien n'était.,high unc conditions,low res conditions,pos conditions,-0.3,0.5,0.7,0.1,0.2,-0.4,0.6,0.3
91,<p id = 'frst'>Theo prend l'avion pour partir en vacances.</p><p id = 'scnd'>Il a préparé une grande valise avec tous ses habits préférés.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Theo prend l'avion pour partir en vacances.,Il a préparé une grande valise avec tous ses habits préférés.,no unc conditions,,neg conditions,0.7,0.5,-0.3,0.6,0.3,-0.5,-0.2,-0.4
92,<p id = 'frst'>Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée <br> mais il ne se rappelle plus du prénom de cette fille.</p><p id = 'scnd'>L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée mais il ne se rappelle plus du prénom de cette fille.,L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.,high unc conditions,high res conditions,pos conditions,-0.3,0.5,0.7,0.4,0.3,-0.6,0.8,0.2
93,<p id = 'frst'>Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. <br> Elle poursuit confuse en criant que quelque chose d'horrible vient d'arriver au centre-ville.</p><p id = 'scnd'>La mère d'Élena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit confuse en criant que quelque chose d'horrible vient d'arriver au centre-ville.,La mère d'Élena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.,high unc conditions,high res conditions,neg conditions,-0.7,0.8,0.6,-0.9,0.9,0.2,-0.5,0.7
94,<p id = 'frst'>Erin voyage en avion.</p><p id = 'scnd'>Elle a bouclé sa ceinture.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Erin voyage en avion.,Elle a bouclé sa ceinture.,no unc conditions,,neg conditions,0.2,0.3,-0.1,0.1,0.1,-0.5,-0.4,-0.3
95,<p id = 'frst'>Mara a bientôt un examen de la plus haute importance.</p><p id = 'scnd'>Elle passe toutes ses journées à la bibliothèque.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mara a bientôt un examen de la plus haute importance.,Elle passe toutes ses journées à la bibliothèque.,no unc conditions,,pos conditions,-0.3,0.7,0.5,0.1,0.4,-0.2,-0.3,-0.1
96,"<p id = 'frst'>Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.</p><p id = 'scnd'>Magnus sort son téléphone mais sa batterie est à plat.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.",Magnus sort son téléphone mais sa batterie est à plat.,low unc conditions,low res conditions,pos conditions,0.2,0.1,-0.3,-0.5,0.6,0.4,-0.2,0.7
